file_keys,diode-guitar-AAoff-1xFs,diode-guitar-AAoff-2xFs,diode-guitar-AAoff-4xFs,diode-guitar-AAoff-8xFs,diode-guitar-AAon-1xFs,diode-guitar-AAon-2xFs,diode-guitar-AAon-4xFs,diode-guitar-AAon-8xFs,diode-guitar-anchor,diode-guitar-reference
lofy8w7eyjlo94vtxjhuntr0ta1weitm,0.5310410697230181,0.5491881566380133,0.4785100286532951,0.66189111747851,0.8252148997134671,0.43457497612225404,0.6341929321872015,0.5157593123209169,0,0.49474689589302767
otoirjvbhan7u92utyn4obt0oi0g3d3h,0.7851002865329513,0.8672397325692455,0.8175740210124164,0.7650429799426934,0.7058261700095511,0.7554918815663801,0.7430754536771729,0.839541547277937,0.0009551098376313276,0.7984718242597899
2a129q39pcfixcxsfqhd4rjfbi5fslt3,0.606494746895893,0.5310410697230181,0.5845272206303725,0.6418338108882522,0.944603629417383,0.5109837631327603,0.6905444126074498,0.562559694364852,0.0028653295128939827,0.994269340974212
wp46y61nlun8a0erx2k5rbz8ziavodne,0.8605539637058262,0.9742120343839542,0.7191977077363897,0.7000955109837631,0.6638013371537727,0.7688634192932188,0.7545367717287488,0.6819484240687679,0,0.7373447946513849
phx0lhv6u3xnuvdedjg9rsk83y9yryxz,0.778414517669532,0.7851002865329513,0.7860553963705826,0.8204393505253104,0.8032473734479465,0.8089780324737345,0.8042024832855779,0.7946513849092646,0,0.8022922636103151
b0rgbr7l6acdnn1p4xk8v344rv1rhces,0.5558739255014327,0.6666666666666666,0.23973256924546324,0.7583572110792741,0.626552053486151,0.7134670487106017,0.038204393505253106,0.8271251193887297,0.009551098376313277,0.9159503342884432
nzf15uulnhs1ttdjfzhsi6gbbbqwty63,0.9302769818529131,0.8681948424068768,0.8061127029608405,0.3113658070678128,0.8271251193887297,0.789875835721108,0.874880611270296,0.9016236867239733,0.0057306590257879654,0.8490926456542502
ifuzgvk7z6y22bnuypq4tgt9mivmpnvy,0.7277936962750716,0.7631327602674307,0.7411652340019103,0.8233046800382043,0.664756446991404,0.8490926456542502,0.7936962750716332,0.14708691499522444,0.017191977077363897,0.5644699140401146
kigrgq1a7zz0t7muiry6fd6nx6otzdgg,0.6322827125119389,0.6494746895893028,0.6934097421203438,0.6752626552053486,0.7153772683858644,0.7507163323782235,0.778414517669532,0.7335243553008596,0.004775549188156638,0.6170009551098377
mol728qj6rhall03lbjou1bssrjafxpb,0.8939828080229226,0.9083094555873925,0.894937917860554,0.8939828080229226,0.9016236867239733,0.9054441260744985,0.9006685768863419,0.8968481375358166,0,0.8958930276981852
yr9w85abgz1nug4ub86uar9k3qhcddbz,0.7392550143266475,0.7774594078319007,0.626552053486151,0.09742120343839542,0.8825214899713467,0.9856733524355301,0.9398280802292264,0.6819484240687679,0,0.2808022922636103
